CardId,RuleFamily,RuleCategory,Trigger,Base,Translate,WordCategory,Before,After,Answer,Outcome,Why,Why-Cym
c000001,"Soft, Contact",Adjective+Noun,trefn,penodol,specific/particular,adj,Mae trefn,ar gyfer rheoli diogelwch,benodol,SM,"In Welsh, an adjective soft-mutates after a feminine singular noun. That is the pattern here, so penodol becomes benodol (p → b).","Yn Gymraeg, mae ansoddair yn treiglo’n feddal ar ôl enw benywaidd unigol. Dyna’r patrwm yma, felly penodol → benodol (p → b)."
c000002,"Soft, Contact",Adjective+Noun,ardal,preswyl,residential,adj,Mae’r ardal,hon yn dawel.,breswyl,SM,"In Welsh, an adjective soft-mutates after a feminine singular noun. That is the pattern here, so preswyl becomes breswyl (p → b).","Yn Gymraeg, mae ansoddair yn treiglo’n feddal ar ôl enw benywaidd unigol. Dyna’r patrwm yma, felly preswyl → breswyl (p → b)."
c000003,"Soft, Contact",Adjective+Noun,gêm,mawr,big/large,adj,Sgorion nhw yn y gêm,.,fawr,SM,"In Welsh, an adjective soft-mutates after a feminine singular noun. That is the pattern here, so mawr becomes fawr (m → f).","Yn Gymraeg, mae ansoddair yn treiglo’n feddal ar ôl enw benywaidd unigol. Dyna’r patrwm yma, felly mawr → fawr (m → f)."
c000004,"Soft, Contact",Article,y,cynulleidfa,audience,noun-fem,Roedd y,yn frwdfrydig.,gynulleidfa,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cynulleidfa becomes gynulleidfa (c → g).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cynulleidfa → gynulleidfa (c → g)."
c000005,"Soft, Contact",Article,y,gwasg,press/publisher,noun-fem,Cyhoeddwyd y llyfr gan y,.,wasg,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So gwasg becomes wasg (g disappears).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly gwasg → wasg (g disappears)."
c000006,"Soft, Contact",Article,y,deddf,law/act,noun-fem,Pasiodd y,yn 2020.,ddeddf,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So deddf becomes ddeddf (d → dd).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly deddf → ddeddf (d → dd)."
c000007,"Soft, Contact",Article,y,masnach,trade,noun-fem,Mae’r,ryngwladol yn tyfu.,fasnach,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So masnach becomes fasnach (m → f).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly masnach → fasnach (m → f)."
c000008,None,Article,y,senedd,senedd/parliament,noun-fem,Mae’r,yn cyfarfod heddiw.,senedd,NONE,"This is a place where soft mutation can happen, but words starting with 's' do not change, so it stays senedd.","Dyma fan lle gall treiglad meddal ddigwydd, ond nid yw geiriau sy’n dechrau gyda 's' yn newid, felly mae’n aros yn senedd."
c000009,None,Article,yr,amrywiaeth,variety,noun-fem,Mae’r,o opsiynau yn eang.,amrywiaeth,NONE,"yr' is used before vowel sounds. This word begins with a vowel sound, so there is no mutation and it stays amrywiaeth.","Defnyddir 'yr' cyn llafariaid. Mae’r gair yn dechrau gyda llafariad, felly does dim treiglad ac mae’n aros yn amrywiaeth."
c000010,None,Article,yr,ymgyrch,campaign,noun-fem,Siaradwyd am yr,newydd.,ymgyrch,NONE,"yr' is used before vowel sounds. This word begins with a vowel sound, so there is no mutation and it stays ymgyrch.","Defnyddir 'yr' cyn llafariaid. Mae’r gair yn dechrau gyda llafariad, felly does dim treiglad ac mae’n aros yn ymgyrch."
c000011,"Soft, Contact",Article,y,gwefan,website,noun-fem,Darllenais i’r erthygl ar y,swyddogol.,wefan,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So gwefan becomes wefan (g disappears).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly gwefan → wefan (g disappears)."
c000012,"Soft, Contact",Article,y,mam,mother,noun-fem,Mae’r,yn gweithio yn yr ysbyty.,fam,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So mam becomes fam (m → f).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly mam → fam (m → f)."
c000013,"Soft, Contact",Article,y,taith,journey/trip,noun-fem,Mae’r trên yn aros ar y,nesaf.,daith,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So taith becomes daith (t → d).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly taith → daith (t → d)."
c000014,"Soft, Contact",Article,y,merch,girl/daughter,noun-fem,Dyma’r,sy’n arwain y prosiect.,ferch,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So merch becomes ferch (m → f).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly merch → ferch (m → f)."
c000015,"Soft, Contact",Article,y,cerddoriaeth,music,noun-fem,Roedd y,yn fyw a phwerus.,gerddoriaeth,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cerddoriaeth becomes gerddoriaeth (c → g).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cerddoriaeth → gerddoriaeth (c → g)."
c000016,"Soft, Contact",Article,y,cyfres,series,noun-fem,A yw’r,newydd yn dechrau heno?,gyfres,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cyfres becomes gyfres (c → g).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cyfres → gyfres (c → g)."
c000017,"Soft, Contact",Article,y,cymdeithas,society/association,noun-fem,Mae’r,yn cynnal cyfarfod blynyddol.,gymdeithas,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cymdeithas becomes gymdeithas (c → g).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cymdeithas → gymdeithas (c → g)."
c000018,"Soft, Contact",Article,y,problem,problem,noun-fem,Sut y gallwn ni ddatrys y,hon?,broblem,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So problem becomes broblem (p → b).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly problem → broblem (p → b)."
c000019,"Soft, Contact",Article,y,prifysgol,university,noun-fem,Mae’r,yn agos at y ddinas.,brifysgol,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So prifysgol becomes brifysgol (p → b).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly prifysgol → brifysgol (p → b)."
c000020,"Soft, Contact",Article,y,cymuned,community,noun-fem,Mae’r,yn gryf iawn yma.,gymuned,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So cymuned becomes gymuned (c → g).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly cymuned → gymuned (c → g)."
c000021,"Soft, Contact",Article,y,canolfan,centre,noun-fem,Mae’r bws yn stopio ger y,.,ganolfan,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So canolfan becomes ganolfan (c → g).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly canolfan → ganolfan (c → g)."
c000022,"Soft, Contact",Article,y,canrif,century,noun-fem,Yn y,diwethaf gwelwyd newidiadau mawr.,ganrif,SM,"After the definite article 'y' ('the'), a feminine singular noun takes soft mutation. So canrif becomes ganrif (c → g).","Ar ôl y fannod bendant 'y' ('the'), mae enw benywaidd unigol yn treiglo’n feddal. Felly canrif → ganrif (c → g)."
c000023,"Soft, Contact",Numerals,un,blwyddyn,year,noun-fem,Dyna un,yn unig.,flwyddyn,SM,"With 'un' before a feminine noun, the noun soft-mutates, so blwyddyn becomes flwyddyn (b → f).","Gyda 'un' cyn enw benywaidd, mae’r enw’n treiglo’n feddal, felly blwyddyn → flwyddyn (b → f)."
c000024,"Soft, Contact",Numerals,dwy,blynedd,years (in time phrases),noun-fem,Arhoson ni yno am dwy,.,flynedd,SM,"With 'dwy' before a feminine noun, the noun soft-mutates, so blynedd becomes flynedd (b → f).","Gyda 'dwy' cyn enw benywaidd, mae’r enw’n treiglo’n feddal, felly blynedd → flynedd (b → f)."
c000025,None,Numerals,tair,blynedd,years (in time phrases),noun-fem,Mae’r cwrs yn para tair,.,blynedd,NONE,"In the 'tair blynedd' time phrase, there is no mutation, so it stays blynedd.","Yn y mynegiant amser 'tair blynedd', does dim treiglad, felly mae’n aros yn blynedd."
c000026,None,Numerals,pedair,blynedd,years (in time phrases),noun-fem,Bydd y les yn para pedair,.,blynedd,NONE,"In the 'pedair blynedd' time phrase, there is no mutation, so it stays blynedd.","Yn y mynegiant amser 'pedair blynedd', does dim treiglad, felly mae’n aros yn blynedd."
c000027,"Nasal, Contact",Numerals,pum,blynedd,years (in time phrases),noun-fem,Buon nhw yno am bum,.,mlynedd,NM,"With 'pum' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'pum' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000028,"Nasal, Contact",Numerals,chwe,blynedd,years (in time phrases),noun-fem,Cafodd y cynllun ei ohirio am chwe,.,mlynedd,NM,"With 'chwe' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'chwe' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000029,"Nasal, Contact",Numerals,saith,blynedd,years (in time phrases),noun-fem,Ar ôl saith,.,mlynedd,NM,"With 'saith' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'saith' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000030,"Nasal, Contact",Numerals,wyth,blynedd,years (in time phrases),noun-fem,Roedden nhw’n briod ers wyth,.,mlynedd,NM,"With 'wyth' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'wyth' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000031,"Nasal, Contact",Numerals,naw,blynedd,years (in time phrases),noun-fem,Buodd y prosiect yn rhedeg am naw,.,mlynedd,NM,"With 'naw' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'naw' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000032,"Nasal, Contact",Numerals,deg,blynedd,years (in time phrases),noun-fem,Roedd y contract yn ddilys am deng,.,mlynedd,NM,"In year expressions, 'deg' is written 'teng' before m-, and the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Mewn mynegiant blynyddoedd, ysgrifennir 'deg' fel 'teng' cyn m-, ac mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000033,"Nasal, Contact",Numerals,deuddeg,blynedd,years (in time phrases),noun-fem,Symudon nhw ar ôl deuddeg,.,mlynedd,NM,"With 'deuddeg' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'deuddeg' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000034,"Nasal, Contact",Numerals,pymtheg,blynedd,years (in time phrases),noun-fem,Aroson ni am bymtheg,cyn newid gwaith.,mlynedd,NM,"With 'pymtheg' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'pymtheg' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
